sampleid	genus	species_river	species_waveformtype	species	locality	river	sex	SL	parasite	waveformtype	primerset	both_primersets	seq_plate	main_river	seq_run	code2
61BF2	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	91	0	TP	BF2 + BR1	yes	6	iboundji	3	61BF2
48BF2	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	male	103	2	BP	BF2 + BR1	yes	6	mengono	3	48BF2
49BF2	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	juvenile	72	3	BP	BF2 + BR1	yes	6	mengono	3	49BF2
249BF2	Paramormyrops	kingsleyae bambomo	kingsleyae BP	kingsleyae	2019-014	bambomo	female	92	0	BP	BF2 + BR1	no	6	bambomo	3	249BF2
364BF2	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	79	0	BP	BF2 + BR1	yes	6	bambomo	3	364BF2
367BF2	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	male	69	0	BP	BF2 + BR1	yes	6	bambomo	3	367BF2
369BF2	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	75	0	BP	BF2 + BR1	yes	6	bambomo	3	369BF2
86BF2	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	male	120	0	BP	BF2 + BR1	yes	6	mengono	3	86BF2
428BF2	Mormyrops	Mormyrops zanchlirostris bale	Mormyrops zanchlirostris	Mormyrops zanchlirostris	2019-026	bale	female	160	NA		BF2 + BR1	yes	6	bale	3	428BF2
418BF2	Paramormyrops	P. kingsleyae apassa	P. kingsleyae	P. kingsleyae	2019-021	apassa	juvenile	61	1		BF2 + BR1	yes	6	apassa	3	418BF2
443BF2	Marcusenius	Marcusenius moori bale	Marcusenius moori BP	Marcusenius moori	2019-026	bale	juvenile	53	NA	BP	BF2 + BR1	yes	6	bale	3	443BF2
483BF2	Petrocephalus	Petrocephalus simus bale	Petrocephalus simus TP	Petrocephalus simus	2019-026	bale	juvenile	36	0	TP	BF2 + BR1	yes	6	bale	3	483BF2
220BF2	Marcusenius	Marcusenius moori below_falls	Marcusenius moori BP	Marcusenius moori	2019-015	below_falls	male	182	0	BP	BF2 + BR1	yes	6	below_falls	3	220BF2
318BF2	Paramormyrops	P. kingsleyae bambomo_3rivers	P. kingsleyae BP	P. kingsleyae	2019-022	bambomo_3rivers	male	66	0	BP	BF2 + BR1	yes	6	bambomo	3	318BF2
84BF2	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	female	95	0	BP	BF2 + BR1	yes	6	mengono	3	84BF2
234BF2	Paramormyrops	P. SN2 below_falls	P. SN2 BP	P. SN2	2019-015	below_falls	female	NA	0	BP	BF2 + BR1	yes	6	below_falls	3	234BF2
