sampleid	genus	species_river	species_waveform	species	locality	river	sex	SL	parasite	waveformtype	primerset	both_primersets	seq_plate	main_river	seq_run	code2
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical categorical numeric	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical
101	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	male	106	0	TP	mlCOIintF+BR2	yes	2	iboundji	2	101
112	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	78	0	TP	mlCOIintF+BR2	yes	2	iboundji	2	112
118	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	male	100	0	BP	mlCOIintF+BR2	yes	2	mengono	2	118
129	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	84	0	TP	mlCOIintF+BR2	no	2	iboundji	2	129
119	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	female	94	0	BP	mlCOIintF+BR2	no	2	mengono	2	119
150	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	105	0	BP	mlCOIintF+BR2	yes	2	bambomo	2	150
156	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	72	0	BP	mlCOIintF+BR2	yes	2	bambomo	2	156
219	Paramormyrops	P. ngounensis below_falls	P. ngounensis BP	P. ngounensis	2019-015	below_falls	NA	150	0	BP	mlCOIintF+BR2	yes	2	below_falls	2	219
224	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	85	0	BP	mlCOIintF+BR2	no	2	bambomo	2	224
243	Mormyrops	Mormyrops nigricans above_falls	Mormyrops nigricans BP	Mormyrops nigricans	2019-019	above_falls	male	160	0	BP	mlCOIintF+BR2	yes	2	above_falls	2	243
262	Mormyrops	Mormyrops zanchlirostris bengue	Mormyrops zanchlirostris BP	M. zanchlirostrus	2019-020	bengue	male	78	0	BP	mlCOIintF+BR2	yes	2	bengue	2	262
362	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	80	0	BP	mlCOIintF+BR2	yes	2	bambomo	2	362
411	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	male	96	0	TP	mlCOIintF+BR2	yes	2	apassa	2	411
433	Paramormyrops	P. szaboi bale	P. szaboi TP	P. szaboi	2019-026	bale	female	92	0	TP	mlCOIintF+BR2	yes	2	bale	2	433
434	Paramormyrops	P. szaboi bale	P. szaboi TP	P. szaboi	2019-026	bale	Male	92	NA	TP	mlCOIintF+BR2	yes	2	bale	2	434
440	Marcusenius	Marcusenius moori bale	Marcusenius moori BP	Marcusenius moori	2019-026	bale	male	59	NA	BP	mlCOIintF+BR2	yes	2	bale	2	440
464	Paramormyrops	P. magnostipes bale	P. magnostipes TP	P. magnostipes	2019-026	bale	NA	68	NA	TP	mlCOIintF+BR2	yes	2	bale	2	464
472	Mormyrops	Mormyrops zanchlirostris bale	Mormyrops zanchlirostris BP	M. zanchlirostrus	2019-026	bale	male	208	0	BP	mlCOIintF+BR2	yes	2	bale	2	472
